VIA,Tipo,Subtipo
1458,Hombre,
1459,Descriptivo,
1460,Descriptivo,
1461,Descriptivo,
1462,Flora,
1463,Flora,
1464,Descriptivo,
1465,Mujer,Educación
1466,Flora,
1467,Descriptivo,
1468,Mujer,Educación
1469,Geográfico,
1471,Hombre,
1474,Descriptivo,
1475,Descriptivo,
1476,Hombre,
1477,Hombre,
1478,Mujer,Educación
1479,Hombre,
1480,Hombre,
1482,Pais/Nación/Región,
1485,Pais/Nación/Región,
1488,Flora,
1491,Histórico,
1493,Hombre,
1494,Hombre,
1495,Pais/Nación/Región,
1496,Fauna,
1497,Hombre,
1503,Hombre,
1506,Hombre,
1509,Hombre,
1511,Lugar/Ciudad,
1512,Lugar/Ciudad,
1515,Histórico,
1521,Hombre,
1522,Hombre,
1523,Hombre,
1524,Hombre,
1525,Geográfico,
1527,Hombre,
1528,Hombre,
1530,Pais/Nación/Región,
1536,Pais/Nación/Región,
1537,Hombre,
1538,Astronómico,
1539,Lugar/Ciudad,
1540,Mujer,Cultura
1542,Hombre,
1545,Pais/Nación/Región,
1548,Pais/Nación/Región,
1551,Hombre,
1552,Lugar/Ciudad,
1554,Hombre,
1557,Geográfico,
1560,Astronómico,
1563,Hombre,
1564,Artes/Cultura,
1566,Hombre,
1569,Hombre,
1572,Hombre,
1573,Hombre,
1574,Flora,
1575,Flora,
1578,Hombre,
1581,Hombre,
1584,Hombre,
1587,Hombre,
1590,Otro,
1593,Histórico,
1596,Lugar/Ciudad,
1599,Astronómico,
1601,Hombre,
1602,Familia,
1603,Hombre,
1605,Histórico,
1611,Lugar/Ciudad,
1614,Hombre,Ficción
1617,Hombre,
1620,Geográfico,
1621,Hombre,
1623,Artes/Cultura,
1625,Hombre,
1626,Pais/Nación/Región,
1628,Hombre,
1629,Hombre,
1632,Hombre,
1635,Histórico,
1638,Hombre,
1641,Lugar/Ciudad,
1644,Hombre,
1650,Hombre,
1653,Pais/Nación/Región,
1654,Astronómico,
1656,Hombre,
1659,Hombre,
1662,Hombre,
1663,Hombre,
1665,Lugar/Ciudad,
1668,Hombre,
1674,Hombre,
1677,Histórico,
1678,Flora,
1680,Hombre,
1683,Hombre,
1689,Lugar/Ciudad,
1695,Hombre,
1698,Hombre,
1701,Hombre,
1704,Hombre,
1705,Hombre,
1710,Hombre,
1711,Astronómico,
1712,Hombre,
1713,Hombre,
1715,Astronómico,
1716,Hombre,
1717,Hombre,
1719,Hombre,
1725,Hombre,
1728,Otro,
1729,Hombre,
1731,Hombre,
1734,Lugar/Ciudad,
1737,Hombre,
1743,Hombre,
1746,Hombre,
1749,Hombre,
1752,Hombre,
1753,Geográfico,
1755,Mujer,Cultura
1758,Hombre,
1764,Histórico,
1767,Pais/Nación/Región,
1769,Pais/Nación/Región,
1770,Lugar/Ciudad,
1771,Hombre,
1772,Hombre,
1773,Hombre,
1776,Hombre,
1777,Hombre,
1779,Hombre,
1782,Geográfico,
1785,Geográfico,
1788,Flora,
1790,Hombre,
1791,Astronómico,
1794,Geográfico,
1795,Flora,
1797,Artes/Cultura,
1799,Astronómico,
1800,Histórico,
1803,Descriptivo,
1804,Hombre,
1805,Descriptivo,
1806,Descriptivo,
1807,Descriptivo,
1815,Hombre,
1816,Histórico,
1818,Lugar/Ciudad,
1819,Mujer,Ficción
1821,Histórico,
1824,Histórico,
1827,Descriptivo,
1830,Geográfico,
1836,Hombre,
1837,Hombre,
1839,Hombre,
1842,Hombre,
1845,Hombre,
1848,Histórico,
1851,Hombre,
1854,Hombre,
1857,Hombre,
1860,Geográfico,
1861,Hombre,
1863,Pais/Nación/Región,
1866,Pais/Nación/Región,
1868,Artes/Cultura,
1869,Lugar/Ciudad,
1870,Descriptivo,
1872,Hombre,
1875,Pais/Nación/Región,
1876,Hombre,
1878,Hombre,
1881,Pais/Nación/Región,
1884,Pais/Nación/Región,
1885,Hombre,
1887,Hombre,
1890,Hombre,
1892,Hombre,
1893,Hombre,
1896,Lugar/Ciudad,
1899,Lugar/Ciudad,
1902,Hombre,
1905,Descriptivo,
1906,Hombre,
1908,Pais/Nación/Región,
1917,Pais/Nación/Región,
1923,Lugar/Ciudad,
1926,Geográfico,
1929,Descriptivo,
1932,Pais/Nación/Región,
1933,Descriptivo,
1935,Hombre,
1941,Pais/Nación/Región,
1944,Otro,
1947,Hombre,
1950,Pais/Nación/Región,
1956,Hombre,
1959,Geográfico,
1962,Hombre,
1965,Hombre,
1968,Hombre,
1969,Descriptivo,
1971,Hombre,
1974,Hombre,
1976,Flora,
1977,Lugar/Ciudad,
1978,Hombre,
1980,Lugar/Ciudad,
1981,Hombre,
1982,Descriptivo,
1983,Histórico,
1986,Histórico,
1989,Histórico,
1991,Hombre,
1992,Geográfico,
1994,Flora,
1995,Hombre,
1996,Flora,
2000,Hombre,
2001,Hombre,
2004,Hombre,
2007,Pais/Nación/Región,
2009,Hombre,
2012,Otro,
2013,Lugar/Ciudad,
2014,Hombre,
2016,Hombre,
2019,Lugar/Ciudad,
2020,Descriptivo,
2022,Geográfico,
2025,Otro,
2028,Fauna,
2034,Hombre,
2040,Hombre,
2043,Hombre,
2045,Hombre,
2046,Descriptivo,
2049,Lugar/Ciudad,
2052,Pais/Nación/Región,
2055,Hombre,
2061,Pais/Nación/Región,
2064,Geográfico,
2067,Otro,
2069,Otro,
2070,Hombre,
2076,Artes/Cultura,
2079,Geográfico,
2082,Histórico,
2085,Geográfico,
2087,Otro,
2088,Otro,
2091,Hombre,
2094,Pais/Nación/Región,
2096,Histórico,
2097,Otro,
2098,Histórico,
2100,Otro,
2106,Otro,
2109,Histórico,
2112,Otro,
2114,Mujer,Emprendedora
2115,Hombre,
2118,Otro,
2121,Hombre,
2124,Pais/Nación/Región,
2127,Hombre,
2136,Otro,
2139,Geográfico,
2140,Astronómico,
2142,Otro,
2145,Otro,
2147,Hombre,
2148,Pais/Nación/Región,
2151,Pais/Nación/Región,
2154,Geográfico,
2156,Otro,
2157,Hombre,
2160,Hombre,
2163,Hombre,
2166,Geográfico,
2169,Descriptivo,
2171,Hombre,
2172,Hombre,
2173,Pais/Nación/Región,
2174,Flora,
2175,Hombre,
2178,Hombre,
2181,Hombre,
2184,Hombre,
2185,Hombre,
2187,Pais/Nación/Región,
2190,Geográfico,
2192,Hombre,
